0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,34,83,33,0,0,0,0,0
0,0,0,45,168,178,147,97,1,0,0,0
0,0,24,199,241,231,210,194,127,1,0,0
0,23,187,275,297,284,266,245,222,138,13,0
69,182,241,325,349,322,304,285,270,203,114,58
155,221,266,350,374,349,329,303,276,218,161,122
187,247,296,375,388,361,336,318,284,241,186,157
203,268,326,385,398,373,353,332,288,254,194,171
196,271,335,385,399,380,355,329,278,241,178,162
175,243,297,370,387,379,349,322,260,217,154,136
131,211,267,344,371,377,351,304,249,191,116,88
29,168,240,312,347,348,339,293,236,136,23,4
0,40,176,259,293,305,300,256,177,15,0,0
0,0,33,145,220,249,232,182,38,0,0,0
0,0,0,10,98,163,145,45,0,0,0,0
0,0,0,0,0,38,20,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
